plate_score,region_score,start_direction,end_direction,hour,is_weekend,month,daily_visits,lag_7,lag_14,lag_30,rolling_7,is_holiday,is_long_weekend,is_local,days_since_first_visit,client_lifetime_visits,client_active_days_last_30d,client_weekend_frac_last_90d,avg_gap_days,std_gap_days,is_weekly_visitor,is_monthly_visitor,daily_visits
0.869,0.813,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.949,0.228,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.999,0.805,180.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.999,0.809,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.918,0.269,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.999,0.545,65.0,79.0,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,4,3.0,3.0,0.3333333333333333,1.3333333333333333,0.4714045207910317,1,0,3374.0
0.995,0.895,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.996,0.721,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,3,1.0,1.0,0.0,3.0,0.0,1,0,3374.0
1.0,0.53,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,5,3.0,3.0,0.0,1.6666666666666667,0.4714045207910317,1,0,3374.0
0.975,0.501,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,2.0,2.0,0.0,3.0,2.0,1,0,3374.0
0.992,0.803,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.992,0.464,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.923,0.934,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.973,0.016,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.998,0.668,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.997,0.833,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.997,0.897,77.0,2.0,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.999,0.869,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.964,0.804,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,1.0,1.0,0.0,6.0,0.0,1,0,3374.0
0.999,0.936,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.998,0.887,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,4.0,3.0,0.0,2.0,0.0,1,0,3374.0
0.999,0.035,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.98,0.595,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.964,0.198,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,2,1.0,1.0,0.0,2.0,0.0,1,0,3374.0
0.965,0.134,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.862,0.042,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
1.0,0.433,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,1,1.0,1.0,1.0,1.0,0.0,1,0,3374.0
0.994,0.477,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,5,2.0,2.0,0.5,2.5,1.5,1,0,3374.0
0.955,0.885,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.959,0.758,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,4,1.0,1.0,0.0,4.0,0.0,1,0,3374.0
0.972,0.799,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,4,2.0,2.0,0.0,2.0,1.0,1,0,3374.0
0.999,0.587,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,2.0,2.0,0.0,3.0,0.0,1,0,3374.0
0.995,0.223,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,2,1.0,1.0,0.0,2.0,0.0,1,0,3374.0
0.943,0.874,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,3,2.0,2.0,0.0,1.5,0.5,1,0,3374.0
0.995,0.916,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,13,2.0,2.0,0.0,6.5,1.5,1,0,3374.0
0.925,0.691,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,5,3.0,3.0,0.0,1.6666666666666667,0.4714045207910317,1,0,3374.0
0.999,0.747,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,5,2.0,2.0,0.0,2.5,0.5,1,0,3374.0
0.997,0.106,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,6.0,4.0,0.16666666666666666,1.5,0.8660254037844386,1,0,3374.0
0.999,0.75,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,4,2.0,2.0,0.0,2.0,0.0,1,0,3374.0
0.999,0.299,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,5,3.0,2.0,0.0,2.5,0.5,1,0,3374.0
0.816,0.158,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.904,0.445,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,5,1.0,1.0,0.0,5.0,0.0,1,0,3374.0
